Time to Pass Gate Indicator (Gate closed) - Days,,,,,,,,,
,CW41,CW45,CW49,CW03,CW06,CW10,CW15,CW19,CW23
ASIA,-19,-12,-12,-10,-9,-10,-10,-12,-1
EMEA,3,3,9,9,3,2,-5,-5,0
NAO,25,20,16,11,27,45,53,55,31
SAO,5,5,14,14,3,2,1,1,-13
WW,-1,11,9,12,9,13,9,2,4
Total,4,5,8,7,7,10,6,7,5
Target,50,50,50,50,50,50,50,50,50
Time to Pass Gate Indicator (Gates open currently late),,,,,,,,,
,CW41,CW45,CW49,CW03,CW06,CW10,CW15,CW19,CW23
ASIA,0,0,0,0,0,13,0,0,0
EMEA,57,26,46,129,108,43,27,47,60
NAO,43,96,140,77,41,67,41,54,44
SAO,0,0,0,0,13,0,0,0,13
WW,290,341,312,182,19,311,395,412,545
Total,128,123,135,120,58,170,120,142,170
Target,50,50,50,50,50,50,50,50,50
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,